Author,Title,Headline
Anonymous,Seeking to strengthen pay equity laws in New York Reuters,Though decades have passed since equal pay legislation was first introduced significant pay inequity persists across gender race ethnicity and other protected characteristics According to the  a href  https   bit ly   xvbNC  target   blank  National Women 
Rich Barlow,Tolerance for Risk May Contribute to Gender Pay Gap,Questrom s Patricia Cortes on why accepting a job offer later narrowed the gender pay gap between male and female graduates 
Thomas Macaulay,Ethereum inventor wants to replace pregnant women with synthetic wombs,Crypto bros never tire of sharing their utopian visions but their big brain ideas aren t always embraced by the proles Vitalik Buterin the co founder and inventor of Ethereum has become the latest victim of this insolence The    year old had pitched a bo 
Jamie Grierson and agency,Banker wins   m for sexual discrimination in  witch hat  case,Stacey Macken sued BNP Paribas after years of unequal pay and belittlement by male colleaguesA City banker who had a witch s hat left on her desk by drunken male colleagues has won more than   m in compensation for sexual discrimination Stacey Macken    sue 
Georgina Quach,Only two UK Covid briefings were led by a female MP report finds,     Sex and Power Index which analyses gender representation across Britain s top jobs shows equality is still  decades off  ul  li Coronavirus   latest updates  li  li See all our coronavirus coverage  li   ul Only two of the government briefings held at  
Anonymous,Compensation Data and Trends in the USA,This Dataforest Compensation findings report reveals the rapidly changing dynamics in how companies of all sizes are compensating employees 
Opinion by Barbara Lee,Opinion  Why you ll see Maya Angelou s face on a US quarter,Each day when we reach into our wallet we are reminded of our nation s founding fathers For every cup of coffee or loaf of bread we purchase we look down and see the faces of men like George Washington Abraham Lincoln and Benjamin Franklin 
Finn Mackay,In this debate over missing words it s marginalised people who are most at risk   Finn Mackay,There is no campaign to remove terms like  breastfeeding  Same sex parents never had our own words to start withSome of our words are missing Have you noticed The Labour shadow health secretary Wes Streeting has and he s angry about it Earlier this mon 
Rich Barlow-Boston U.,How cockiness and risk tolerance add to the gender wage gap,Men notoriously outearn women in similar jobs A new paper finds that men s risk tolerance and overconfidence play a role in wage differences 
Jeff Green,NYC Aims to Close Stubborn Gender Pay Gap With Salary Disclosure,States and cities are increasingly requiring companies to disclose how much they pay
Maria Colacurcio,Workers you ve got the power Here s how to use it,The CEO of Syndio walks candidates through three factors they must demand from their employer  This past November     million workers resigned in search of new opportunities Many are looking for more transparency equity and a company that shares their val 
Going Public,Fewer Than    Women Founders Have Ever Taken a Company Public,In      Business Insider reported that  around     is a more likely accurate number 
Emily Peck,Women in same gender partnerships face a double pay gap,Data  The Hamilton Project Chart  Kavya Beheraj AxiosA married female couple will bring home lower wages on average than an opposite gender married couple or a same gender male couple Why it matters  Women in same gender partnerships can experience  at lea 
 https://www.forbes.com/sites/ashleystahl/,The Pandemic And The Gender Pay Gap In     ,Wondering what the pandemic has done for the gender pay gap Here s the insight 
 https://www.forbes.com/sites/adigaskell/,How Robots Could Lower The Gender Pay Gap,New research explores how the introduction of robots into the workforce affects workers and families 
Graham Smith,Lego Star Wars  The Skywalker Saga developers allege  extensive crunch  in new report,Lego Star Wars  The Skywalker Saga has been in development for five years and suffered multiple delays but it now has a new release date The latest Lego spin on Star Wars which covers all nine main films will release on April  th   At the same time as War 
Logan Plant, Soft Spoken Blackmail   Lego Star Wars  The Skywalker Saga Devs Reportedly Forced to Crunch,A new report from Polygon details the issues within TT Games sharing the accounts of over    current and former employees many of whom say calls for change within the studio have been mostly ignored 
Anonymous,With Winter Olympics set to start poll finds Canadians not supportive Writer s Bloc Castanet net, ol  li With Winter Olympics set to start poll finds Canadians not supportive Writer s Bloc  Castanet net    li  li Canadian Press projects    medals for Canada in Beijing  TSN    li  li Beijing Olympics  Canada down to   athlete in COVID    protocols  Glo 
 https://www.forbes.com/sites/kimelsesser/,State Of California Signs Equal Pay Pledge,Women in California lose a collective    billion due to the gender pay gap Today the State of California took a step to reduce that staggering number by signing the California Equal Pay Pledge an initiative launched by California s First Partner Jennife 
Anis Heydari,Sharing salary information can narrow wage gaps   but studies show more equality can mean less pay,Pay transparency is the practice of making salary information more public in order to try and close wage gaps But experts say it might not make compensation more equal without negotiating power such as unionization and can actually lower your pay 
Anonymous,New Research Shows Gender Gap in Finance Faculty at Top Business Schools UMass News and Media Relations,New research on the gender gap in faculty in finance programs shows a significant gap with only     of the finance faculty at top business schools being women 
Yves Smith,Headstrong Girls and Dependent Boys  Gender Differences in the Labour Market Returns to Child Behaviour,Gender stereotype defying boys and girls appear to carry on that way as adults and pay a financial price 
Arwa Mahdawi,Asking a delivery driver to dance is deranged   but Amazon bosses appear to disagree   Arwa Mahdawi,Amazon s official TikTok account has been boosting the dystopic trend and sharing videos of delivery people dancing on command Being an Amazon delivery driver sure sounds like a blast  you get to see the world  well part of it anyway  as you cruise the open  
Cassie Werber,What happens when colleagues know each other s salaries,A new academic study found that pay transparency makes wages more equitable and decouples performance from salary 
John Rampton,An Annuity     Guide for Consumers Who Want Fixed Annuity Rates,Are you looking for an effective way to manage your retirement income If so then you may want to consider an annuity Why It will provide regular and guaranteed payments 
 https://www.forbes.com/sites/marchershberg/,New Law Could Reduce Pay Inequity On Broadway,The curtain will soon be lifted on the salaries of Broadway jobs 
Mandi Woodruff-Santos,Viral post about underpaying a job candidate reveals the root cause of pay disparity,From recruiters to hiring managers to the C suite the people in power have to care about salary equality to end the gender and racial wage gap 
Telegraph reporters,Female banker shouted down by male colleagues with catchphrase not now Stacey wins   m payout,Stacey Macken    sued French bank BNP Paribas after being belittled by her boss who used the phrase so often that colleagues copied it
 https://www.forbes.com/sites/forbesbusinesscouncil/people/greicemurphy/,Five Ways To Boost Gender Diversity In The Boardroom,In order to promote real change we ought to showcase that doing the right thing is the smart thing to do 
PR Newswire,Unique Presidents Day Sale asks Biden to Pay More than Harris,The only Presidents Day Sale ever to ask the President to pay more than his Vice President will take place at the world s first Pay Gap Store on Presidents 
Mike Elgan,It s time to pay attention to pay,The pandemic has changed everything about work   Far more people now work remotely Hybrid and flex work arrangements are all the rage Employees are quitting in droves in the Great Resignation There s the labor shortage the skills gap and remote hiring T 
 https://www.forbes.com/sites/sallypercy/,Five Focus Areas For Leaders In        And Beyond,In a world of change and opportunity how can organizations transform for the future 
Yasmeen Serhan,A Pandemic Isn t So Bad When You re Super Rich,How the wealthy have learned to live with COVID   
jlalljee@insider.com (Jason Lalljee),A new study shows men in same gender relationships earn more than both their female counterparts and heterosexual couples   and it highlights the ongoing gender pay gap,Men in same gender marriages earn     more than heterosexual couples and     more than women in same gender marriages says Brookings Institute 
Brad Anderson,The    Top Masterminds to Join in     ,A Mastermind is a peer to peer mentoring group used to help members solve their problems and improve their lives We have all read Think and Grow Rich by Napoleon Hill The central concept is to surround yourself with like minded individuals who have what you 
Nassim Khadem,It s not a lie  Men are twice as likely to be more highly paid than women,While the        gender pay gap should be alarming to many those who downplay the data s significance like to draw attention to what it doesn t show writes Nassim Khadem 
Gabrielle Olya,How To Thrive as a Woman in Tech Other Male Dominated Fields,A recent study of the tech industry conducted by New View Strategies found that   in   women experiences gender bias and     believe there is a gender pay 
Kaestner,Gender differences in the labour market returns to child behaviour,The persistence of the gender wage gap suggests it may have roots extending back into childhood Using data from a US longitudinal survey this column examines how gender differences in adult earnings correspond to various childhood behaviours Results indica 
Marlon Williams,Women are as likely as men to accept a gender pay gap if they benefit from it,Perhaps it all depends on perspective Tommy DigitalVision Vectors via Getty ImagesThe Research Brief is a short take about interesting academic work The 
 https://www.forbes.com/sites/lawrencelight/,There s A Pink Tax On Women,Unfair and burdensome markups on women s goods and services are rife How can this injustice be ended 
 https://www.forbes.com/sites/forbescommunicationscouncil/people/joyaltimare/,Four Ways To Increase Representation And Pay For Black Women In Corporate America,Companies need to step up their game and take concrete action to give Black women equal opportunity to rise to the top 
Christopher Christopher,Serena Williams   It takes time  to address gender pay inequity in sports, I like that people are starting to recognize that women do deserve equal pay and they deserve the same that a male gets   Williams told CBS News 
jlalljee@insider.com (Jason Lalljee),Black immigrants earn about       less than other immigrant groups even though they have the same share of college graduates,The number of Black immigrants earning degrees rose faster than any of their peers in the past    years but they saw the slowest income growth 
Kara Miller,Why well educated women can t close the pay gap,Women now outpace men in college enrollment But even those with more education and higher incomes are unlikely to hold the levers of power any time soon 
Anonymous,Schneider Electric s Commitment to DEI Recognized by Bloomberg s Gender Equality Index for Fifth Year in a Row,BOSTON  BUSINESS WIRE  Empowered Schneider Electric the global leader in the digital transformation of energy management and automation today announced its inclusion in the      Bloomberg Gender Equality Index  GEI  for the fifth year in a row Schnei 
Kimeko McCoy, The liberation of the workplace   Industry experts sound off on      the year of the  Shecovery ,As the pandemic rages on companies look to reverse course on the Shecession  The post  The liberation of the workplace   Industry experts sound off on      the year of the  Shecovery  appeared first on Digiday 
Rapahel Rashid in Seoul,Happy alone  the young South Koreans embracing single life,From honjok   taking part in activities alone   to bihon   pledging never to marry   a pushback against the traditional family unit is reshaping societyMin Kyeong seok is not shy about eating in restaurants alone or staying in luxury hotels by himself and s 
Georgina Quach,Make UK employers report ethnicity pay gap MPs tell ministers,Women and equalities committee says big companies should publish data as they do for genderMPs have urged the government to introduce mandatory reporting of the pay gap between staff of different ethnicities saying there is no excuse for failing to tackle ra 
SHRM,SHRM Executives Join B   Indonesia Women in Business Action Council SHRM,SHRM President and CEO Johnny C Taylor Jr and Chief of Staff Head of Government Affairs and Corporate Secretary Emily M Dickens were named co chair and deputy co chair respectively of the B   Indonesia Women in Business Action Council 
Justin Vallejo, I have sinned      year old gambling nun jailed after blaming gender pay gap for stealing         from kids,Sister Mary Margaret Kreuper said she stole tuition checks and donations in part because  priests get paid better than nuns  and she deserved a raise
Orion Rummler,Trans Workers Face a Significant Wage Gap Poll Finds,Trans and nonbinary people are among the lowest paid LGBTQ full time workers in the United States a new poll shows 
 https://www.forbes.com/sites/patriciafersch/,What Does Caring For Children Cost Mothers ,Caring for children falls largely on women and the time women spend in the home caring for children costs them career advancement and stagnation in their incomes 
Matthew Dicks,Ask a Teacher  I m Pretty Sure My Kid s School Has a Wildly Discriminatory Practice,Teacher advice on suspension inequity and grade skipping 
Alex Cooper,Party Charged White Straight Men   Times as Much as LGBTQ  Attendees,Event organizers say they put a pay scale in place for their events   charging white straight men the most   due to the unfair economic imbalance in society 
Anonymous,Schneider Electric s Commitment to DEI Recognized by Bloomberg s Gender Equality Index for Fifth Year in a Row,MISSISSAUGA Ontario  BUSINESS WIRE  Schneider Electric announced its inclusion in the      Bloomberg Gender Equality Index  GEI  for the fifth year in a row 
Maya Oppenheim,Women make up less than a third of top UK jobs report finds, It s bad for us all as we miss out on women s talent skills and perspective   Fawcett Society chief executive adds
Allison Bray,RTE journalist Emma O Kelly and NUJ call on national broadcaster to eliminate gender pay gap,An RTE reporter along with the National Union of Journalists have called on the national broadcaster to eliminate the gender pay gap five years after female staff at the State broadcaster first demanded action on pay inequity 
Henry Martin,Female broker    is handed   MILLION compensation in gender discrimination battle,Stacey Now Miss Macken  from Fulham West London  has won            one of the largest awards ever made by a British tribunal after suing the international bank 
Lorie Konish, Headstrong women and dependent men may get paid less research finds, Headstrong  women and  dependent  men may get paid less research finds 
Anonymous,Payoneer Study Finds Freelance Workers Benefited from Surge in Demand and Increased Pay Amidst Ongoing Pandemic,NEW YORK  BUSINESS WIRE  Payoneer  NASDAQ  PAYO  the commerce technology company powering payments and growth for the new global economy today issued the fourth edition of its Freelancer Income Report The report is based on a survey of       freelancers  
