,id,value
1,america,36
4,average,13
5,bank,13
6,better,10
7,biden,12
8,big,10
9,black,13
10,business,29
11,campaign,12
12,capital,16
13,change,13
14,close,15
15,color,14
17,company,14
18,covid,18
19,credit,15
20,data,24
21,day,34
22,discrimination,10
23,earn,27
24,employees,14
25,equal,52
26,equality,21
27,face,13
28,federal,16
29,female,19
30,finds,16
31,fund,10
32,future,11
35,gender,146
36,global,13
37,government,11
38,history,14
39,industry,12
41,jobs,18
42,law,11
43,life,10
44,long,11
45,look,13
46,make,31
48,maple,13
49,march,15
50,market,10
51,men,73
52,million,18
53,month,14
54,narrow,10
55,national,13
56,need,12
57,news,26
58,paid,24
59,pandemic,22
61,people,23
62,poll,10
63,post,18
64,power,10
65,president,17
66,program,12
67,report,32
68,research,12
69,retirement,12
70,reuters,16
71,rules,11
72,salary,16
73,shows,17
74,south,12
75,states,11
76,study,21
77,survey,12
78,syrup,14
79,tech,21
80,time,25
81,today,19
82,transparency,14
83,tuesday,11
84,twitter,11
85,uk,18
86,wage,34
87,wages,12
88,way,12
89,week,12
90,women,205
91,work,36
92,workers,33
94,workplace,12
95,world,11
96,year,52
98,york,10
99,young,11
