,id,value
2,action,28
3,annual,50
4,april,14
5,ask,31
6,average,16
7,brent,24
8,chief,26
9,clear,23
10,close,69
13,companies,41
15,compared,15
16,compensation,28
17,controversial,17
18,data,30
19,day,27
21,die,46
22,directive,29
23,directly,25
25,earn,49
27,employees,19
28,employers,23
29,ensure,16
30,equal,129
31,equality,14
32,equity,18
33,eu,17
34,expected,26
36,frauen,20
39,gender,161
40,government,15
41,great,17
42,help,15
43,hyder,24
44,incorporated,24
45,job,24
46,latest,13
47,law,28
48,long,15
49,look,21
50,make,37
55,men,138
56,million,47
57,need,20
58,officer,26
59,paid,39
60,parit,14
62,people,45
63,plans,15
64,president,28
65,read,33
66,real,14
67,report,89
69,right,15
70,rise,32
72,salary,44
73,salesforce,23
74,soccer,44
75,stakes,24
76,step,18
77,successful,22
78,table,25
79,tackle,19
80,think,19
81,time,23
82,today,51
83,transparency,47
84,uk,35
85,value,18
86,vote,76
87,want,33
88,way,21
89,week,18
90,win,48
92,women,238
94,work,83
95,workers,19
97,workplace,19
98,year,57
