ID,Economy,Indicator,Year,Type of Reform,Reform Description,
1,Afghanistan,Parenthood,1989,positive,Afghanistan prohibited the dismissal of pregnant workers.,
1,Afghanistan,Pension,1989,negative,Afghanistan set unequal mandatory retirement ages for women and men.,
1,Afghanistan,Parenthood,2000,negative,Afghanistan no longer prohibits the dismissal of pregnant workers.,
1,Afghanistan,Pension,2000,positive,Afghanistan equalized the mandatory retirement ages for women and men.,
1,Afghanistan,Parenthood,2008,positive,Afghanistan introduced paid paternity leave.,
1,Afghanistan,Mobility,2017,positive,Afghanistan enacted a new Passport Law which no longer requires a married woman to bring a guardian or written consent of her husband when applying for a passport.,
1,Afghanistan,Workplace,2017,positive,Afghanistan enacted legislation protecting women from sexual harassment in employment. It adopted criminal penalties for sexual harassment in employment and also enacted civil remedies for sexual harassment in employment.,
2,Albania,Parenthood,1994,positive,Albania increased the duration of paid maternity leave to at least 14 weeks.,
2,Albania,Pension,1994,positive,Albania explicitly accounted for periods of absence due to child care in pension benefits.,
2,Albania,Parenthood,1997,positive,Albania prohibited the dismissal of pregnant workers.,
2,Albania,Pension,1997,positive,Albania no longer establishes a mandatory retirement age for women and men.,
2,Albania,Workplace,1997,positive,Albania prohibited gender discrimination in employment. It enacted legislation protecting women from sexual harassment in employment and also adopted criminal penalties for sexual harassment in employment.,
2,Albania,Marriage,2008,positive,Albania enacted legislation protecting women from domestic violence.,
2,Albania,Entrepreneurship,2011,positive,Albania introduced new legislation that makes access to credit easier for women by prohibiting gender-based discrimination in financial services.,
2,Albania,Parenthood,2017,positive,Albania introduced paid paternity leave.,
2,Albania,Pay,2017,positive,Albania mandated equal remuneration for work of equal value.,
3,Algeria,Parenthood,1976,positive,Algeria began administering maternity benefits through its social security system.,
3,Algeria,Pension,1984,positive,Algeria introduced an old-age pension system that does not establish an age at which women and men can retire with partial pension benefits. The new system set unequal mandatory retirement ages for women and men. It also explicitly accounted for periods of absence due to child care in pension benefits.,
3,Algeria,Parenthood,1985,positive,Algeria increased the duration of paid maternity leave to at least 14 weeks.,
3,Algeria,Parenthood,1991,positive,Algeria introduced paid paternity leave.,
3,Algeria,Pay,1991,positive,Algeria mandated equal remuneration for work of equal value.,
3,Algeria,Pension,1998,negative,Algeria set unequal ages at which women and men can retire with partial pension benefits.,
3,Algeria,Marriage,2006,positive,Algeria allowed women to be head of household. It no longer requires a married woman to obey her husband.,
3,Algeria,Mobility,2006,positive,Algeria reformed its Family Code allowing a woman to leave the marital home without her husband's permission.,
3,Algeria,Workplace,2006,positive,Algeria enacted legislation protecting women from sexual harassment in employment and also adopted criminal penalties for sexual harassment in employment.,
3,Algeria,Marriage,2017,positive,Algeria enacted legislation protecting women from domestic violence.,
4,Angola,Parenthood,1983,positive,Angola prohibited the dismissal of pregnant workers.,
