Entity,Code,Year,Share of women in top 1%,Share of women in top 10%,Share of women in top 5%
Australia,AUS,2000,18.3,24.9,21.1
Australia,AUS,2001,18.4,25.1,21.4
Australia,AUS,2002,18.8,25.1,21.5
Australia,AUS,2003,19.1,25.1,21.6
Australia,AUS,2004,19.6,25.5,22.2
Australia,AUS,2005,20.3,25.5,22.6
Australia,AUS,2006,21.5,26,23.4
Australia,AUS,2007,20.7,25.4,22.9
Australia,AUS,2008,20.2,25.9,22.6
Australia,AUS,2009,20,26,22.5
Australia,AUS,2010,20.4,25.8,22.8
Australia,AUS,2011,20.2,25.3,22.3
Australia,AUS,2012,19.8,25.1,21.8
Australia,AUS,2013,20.3,25.7,22.3
Australia,AUS,2014,20.8,26.6,23
Canada,CAN,1993,13.5,22.2,18.6
Canada,CAN,1994,13.8,21.9,18.1
Canada,CAN,1995,14.5,22.3,18.5
Canada,CAN,1996,15,22.7,19
Canada,CAN,1997,15.4,22.7,18.9
Canada,CAN,1998,15.7,23.4,19.6
Canada,CAN,1999,16.2,23.7,19.9
Canada,CAN,2000,16.6,25.7,21.8
Canada,CAN,2001,17.2,25.2,21.3
Canada,CAN,2002,17.5,26.2,21.9
Canada,CAN,2003,17.9,26.7,22.3
Canada,CAN,2004,18.5,27.2,22.9
Canada,CAN,2005,18.8,27.3,23
Canada,CAN,2006,19.5,27.8,23.6
Canada,CAN,2007,20.1,28.5,24.2
Canada,CAN,2008,20.3,28.8,24.4
Canada,CAN,2009,20.8,30.6,25.6
Canada,CAN,2010,20.9,30.4,25.5
Canada,CAN,2011,21.1,30.3,25.4
Canada,CAN,2012,21.3,29.8,25.2
Canada,CAN,2013,22,29.8,25.4
Canada,CAN,2014,21.7,29.7,25.2
Canada,CAN,2015,23.2,30.8,26.5
Denmark,DNK,1980,4.5,9.4,6.9
Denmark,DNK,1981,4.7,10.3,7.3
Denmark,DNK,1982,4.8,10.7,7.6
Denmark,DNK,1983,5.6,11.7,8.4
Denmark,DNK,1984,5.6,11.2,8.3
Denmark,DNK,1985,5.8,12.1,8.7
Denmark,DNK,1986,5.6,11.4,8.3
Denmark,DNK,1987,6.2,12.4,9
Denmark,DNK,1988,6.4,14.6,10.4
Denmark,DNK,1989,6.8,15.3,10.9
Denmark,DNK,1990,7.1,16.3,11.5
Denmark,DNK,1991,8.2,16.7,12.5
Denmark,DNK,1992,9.1,17.6,13.4
Denmark,DNK,1993,9.4,18.6,14
Denmark,DNK,1994,9.5,18.4,14
Denmark,DNK,1995,9.4,18.6,14.3
Denmark,DNK,1996,9.5,19,14.4
Denmark,DNK,1997,9.6,19,14.4
Denmark,DNK,1998,9.9,19.5,14.9
Denmark,DNK,1999,10.2,19.9,15.4
Denmark,DNK,2000,10.3,20.3,15.7
Denmark,DNK,2001,10.4,21.1,16.4
Denmark,DNK,2002,11.3,22.3,17.5
Denmark,DNK,2003,12,23.5,18.5
Denmark,DNK,2004,12.6,24.2,19.2
Denmark,DNK,2005,13,24.8,19.8
Denmark,DNK,2006,13.6,25.3,20.4
Denmark,DNK,2007,13.6,25.5,20.7
Denmark,DNK,2008,14.3,26.3,21.5
Denmark,DNK,2009,15.8,28.6,23.3
Denmark,DNK,2010,16,30.3,24.3
Denmark,DNK,2011,16.1,30.3,24.4
Denmark,DNK,2012,16.1,30.6,24.5
Denmark,DNK,2013,16.2,30.9,25.1
Italy,ITA,1999,15.4,25.2,21.4
Italy,ITA,2000,15.5,25.3,21.7
Italy,ITA,2001,15.7,25.4,21.9
Italy,ITA,2002,15.7,25.4,21.9
Italy,ITA,2003,15.9,25.7,22.1
Italy,ITA,2004,15.8,25.6,22.3
Italy,ITA,2005,16.1,25.6,22.5
